Piece,Voice,Id,Note Shape,Measure
Duf16002,1,m-57,minima,2
Duf16002,1,m-80,minima,3
Duf16002,1,m-101,minima,4
Duf16002,1,m-149,minima,7
Duf16002,1,m-190,minima,9
Duf16002,1,m-194,minima,9
Duf16002,1,m-238,minima,11
Duf16002,1,m-260,minima,12
Duf16002,1,m-345,minima,16
Duf16002,1,m-381,minima,18
Duf16002,1,m-407,minima,19
Duf16002,1,m-431,minima,20
Duf16002,1,m-527,minima,25
Duf16002,2,m-86,minima,3
Duf16002,2,m-122,minima,5
Duf16002,2,m-155,minima,7
Duf16002,2,m-198,minima,9
Duf16002,2,m-201,minima,9
Duf16002,2,m-246,minima,11
Duf16002,2,m-265,minima,12
Duf16002,2,m-290,minima,13
Duf16002,2,m-330,minima,15
Duf16002,2,m-369,minima,17
Duf16002,2,m-416,minima,19
Duf16002,2,m-457,minima,21
Duf16002,2,m-510,minima,24
Duf16002,2,m-532,minima,25
Duf16002,3,m-94,minima,3
Duf16002,3,m-112,minima,4
Duf16002,3,m-164,minima,7
Duf16002,3,m-209,minima,9
Duf16002,3,m-233,minima,10
Duf16002,3,m-254,minima,11
Duf16002,3,m-272,minima,12
Duf16002,3,m-317,minima,14
Duf16002,3,m-339,minima,15
Duf16002,3,m-422,minima,19
Duf16002,3,m-446,minima,20
Duf16002,3,m-499,minima,23
Duf16002,3,m-540,minima,25
Duf22518,1,m-44,minima,1
Duf22518,1,m-60,minima,2
Duf22518,1,m-77,minima,3
Duf22518,1,m-80,minima,3
Duf22518,1,m-100,minima,4
Duf22518,1,m-117,minima,5
Duf22518,1,m-137,minima,6
Duf22518,1,m-182,minima,8
Duf22518,1,m-289,minima,13
Duf22518,1,m-308,minima,14
Duf22518,2,m-143,minima,6
Duf22518,2,m-187,minima,8
Duf22518,2,m-273,minima,12
Duf22518,3,m-73,minima,2
Duf22518,3,m-92,minima,3
Duf22518,3,m-172,minima,7
Duf22518,3,m-196,minima,8
Duf22518,3,m-233,minima,10
Duf22518,3,m-322,minima,14
Duf3007.2,1,m-614,semibrevis,21
Duf3007.2,2,m-101,semibrevis,2
Duf3007.2,2,m-698,semibrevis,24
Duf3007.2,2,m-844,semibrevis,30
Duf3007.2,2,m-891,semibrevis,32
Duf3007.2,3,m-104,semibrevis,2
Duf3007.2,3,m-385,semibrevis,11
Duf3007.2,3,m-704,semibrevis,24
Duf3007.2,3,m-805,semibrevis,28
Duf3007.2,3,m-899,semibrevis,32
Duf3025,1,m-44,semibrevis,1
Duf3025,1,m-117,semibrevis,3
Duf3025,1,m-156,semibrevis,4
Duf3025,1,m-405,semibrevis,12
Duf3025,1,m-565,semibrevis,17
Duf3025,1,m-640,semibrevis,19
Duf3025,1,m-883,semibrevis,28
Duf3025,1,m-1133,semibrevis,36
Duf3025,2,m-172,semibrevis,4
Duf3025,2,m-205,semibrevis,5
Duf3025,2,m-261,semibrevis,7
Duf3025,2,m-304,semibrevis,9
Duf3025,2,m-422,semibrevis,12
Duf3025,2,m-497,semibrevis,14
Duf3025,2,m-657,semibrevis,19
Duf3025,2,m-697,semibrevis,20
Duf3025,2,m-922,semibrevis,29
Duf3025,2,m-1271,semibrevis,42
Duf3025,3,m-95,semibrevis,2
Duf3025,3,m-176,semibrevis,4
Duf3025,3,m-209,semibrevis,5
Duf3025,3,m-265,semibrevis,7
Duf3025,3,m-310,semibrevis,9
Duf3025,3,m-503,semibrevis,14
Duf3025,3,m-661,semibrevis,19
Duf3025,3,m-701,semibrevis,20
Duf3025,3,m-810,semibrevis,24
Duf3025,3,m-1219,semibrevis,39
Duf3025,3,m-1294,semibrevis,43
Iv001,1,m-253,minima,9
Iv001,1,m-388,minima,16
Iv001,1,m-729,minima,31
Iv001,1,m-851,minima,36
Iv001,1,m-885,minima,37
Iv001,1,m-1345,minima,54
Iv001,1,m-1436,minima,57
Iv001,1,m-1696,minima,66
Iv001,2,m-260,brevis,9
Iv001,2,m-314,brevis,12
Iv001,2,m-454,brevis,18
Iv001,2,m-509,brevis,21
Iv001,2,m-573,brevis,24
Iv001,2,m-866,brevis,36
Iv002,1,m-415,brevis,14
Iv002,1,m-786,brevis,28
Iv002,1,m-1057,brevis,38
Iv002,2,m-100,brevis,2
Iv002,2,m-150,brevis,4
Iv002,2,m-264,brevis,8
Iv002,2,m-331,brevis,10
Iv002,2,m-640,brevis,22
Iv002,2,m-957,brevis,34
Iv002,2,m-1039,brevis,37
Iv002,3,m-222,brevis,6
Iv002,3,m-438,brevis,14
Iv002,3,m-750,brevis,26
Iv002,3,m-966,brevis,34
Iv003,1,m-1300,minima,38
Iv003,1,m-1337,minima,39
Iv003,1,m-1442,minima,43
Iv003,1,m-1469,minima,44
Iv003,1,m-1570,minima,48
Iv003,1,m-1597,minima,49
Iv003,1,m-1690,minima,53
Iv003,1,m-1727,minima,54
Iv003,1,m-1832,minima,58
Iv003,1,m-1859,minima,59
Iv003,1,m-1955,minima,63
Iv003,1,m-1988,minima,64
Iv003,1,m-2086,minima,68
Iv003,1,m-2107,minima,69
Iv003,2,m-936,minima,27
Iv003,2,m-1138,minima,33
Iv004,1,m-304,brevis,8
Iv004,1,m-634,brevis,17
Iv004,1,m-953,brevis,26
Iv004,1,m-1285,brevis,35
Iv004,1,m-1611,brevis,44
Iv004,1,m-45,semibrevis,1
Iv004,1,m-215,semibrevis,6
Iv004,1,m-267,semibrevis,7
Iv004,1,m-366,semibrevis,10
Iv004,1,m-541,semibrevis,15
Iv004,1,m-588,semibrevis,16
Iv004,1,m-691,semibrevis,19
Iv004,1,m-865,semibrevis,24
Iv004,1,m-913,semibrevis,25
Iv004,1,m-1013,semibrevis,28
Iv004,1,m-1194,semibrevis,33
Iv004,1,m-1242,semibrevis,34
Iv004,1,m-1341,semibrevis,37
Iv004,1,m-1523,semibrevis,42
Iv004,1,m-1569,semibrevis,43
Iv004,2,m-119,semibrevis,3
Iv004,2,m-282,semibrevis,7
Iv004,2,m-438,semibrevis,12
Iv004,2,m-607,semibrevis,16
Iv004,2,m-769,semibrevis,21
Iv004,2,m-931,semibrevis,25
Iv004,2,m-1093,semibrevis,30
Iv004,2,m-1263,semibrevis,34
Iv004,2,m-1419,semibrevis,39
Iv004,2,m-1590,semibrevis,43
Iv004,3,m-139,brevis,3
Iv004,3,m-249,brevis,6
Iv004,3,m-336,brevis,8
Iv004,3,m-458,brevis,12
Iv004,3,m-570,brevis,15
Iv004,3,m-663,brevis,17
Iv004,3,m-787,brevis,21
Iv004,3,m-896,brevis,24
Iv004,3,m-983,brevis,26
Iv004,3,m-1113,brevis,30
Iv004,3,m-1225,brevis,33
Iv004,3,m-1309,brevis,35
Iv004,3,m-1435,brevis,39
Iv004,3,m-1552,brevis,42
Iv004,3,m-1633,brevis,44
Iv004,3,m-104,semibrevis,2
Iv004,3,m-138,semibrevis,3
Iv004,3,m-425,semibrevis,11
Iv004,3,m-457,semibrevis,12
Iv004,3,m-748,semibrevis,20
Iv004,3,m-786,semibrevis,21
Iv004,3,m-1066,semibrevis,29
Iv004,3,m-1112,semibrevis,30
Iv004,3,m-1404,semibrevis,38
Iv004,3,m-1434,semibrevis,39
Iv005,1,m-156,minima,5
Iv005,1,m-719,minima,23
Iv005,1,m-1455,minima,45
Iv005,1,m-1620,minima,50
Iv005,2,m-139,minima,4
Iv005,2,m-783,minima,24
Iv005,2,m-978,minima,31
Iv005,2,m-1061,minima,33
Iv005,2,m-1722,minima,52
Iv006,2,m-613,minima,22
Iv006,2,m-926,minima,33
Iv006,2,m-1330,minima,48
Iv007,2,m-113,brevis,3
Iv007,2,m-170,brevis,5
Iv007,3,m-87,brevis,2
Iv007,3,m-223,brevis,7
Iv007,3,m-402,brevis,12
Iv007,3,m-568,brevis,17
Iv007,3,m-746,brevis,22
Iv007,3,m-909,brevis,27
Iv007,3,m-1081,brevis,32
Iv007,3,m-1241,brevis,37
Iv007,3,m-1405,brevis,42
Iv008,3,m-195,brevis,4
Iv008,3,m-382,brevis,9
Iv008,3,m-730,brevis,18
Iv008,3,m-934,brevis,23
Iv008,3,m-1284,brevis,32
Iv008,3,m-1453,brevis,37
Iv008,3,m-1807,brevis,46
Iv008,3,m-1985,brevis,51
Iv008,4,m-113,brevis,2
Iv008,4,m-278,brevis,6
Iv008,4,m-504,brevis,12
Iv008,4,m-657,brevis,16
Iv008,4,m-814,brevis,20
Iv008,4,m-1048,brevis,26
Iv008,4,m-1202,brevis,30
Iv008,4,m-1368,brevis,34
Iv008,4,m-1580,brevis,40
Iv008,4,m-1733,brevis,44
Iv008,4,m-1884,brevis,48
Iv008,4,m-2111,brevis,54
Ock3008,1,m-994,semibrevis,22
Ock3008,1,m-1122,semibrevis,26
Ock3008,2,m-99,semibrevis,2
Ock3008,2,m-272,semibrevis,5
Ock3008,2,m-478,semibrevis,9
Ock3008,2,m-596,semibrevis,12
Ock3008,2,m-817,semibrevis,17
Ock3008,2,m-940,semibrevis,20
Ock3008,2,m-1203,semibrevis,28
Ock3008,2,m-1320,semibrevis,31
Ock3008,3,m-950,semibrevis,20
Ock3008,3,m-1143,semibrevis,26
Ock3009_Dijon,1,m-71,semibrevis,3
Ock3009_Dijon,1,m-169,semibrevis,10
Ock3009_Dijon,1,m-213,semibrevis,13
Ock3009_Dijon,1,m-255,semibrevis,16
Ock3009_Dijon,1,m-462,semibrevis,30
Ock3009_Dijon,1,m-537,semibrevis,35
Ock3009_Dijon,2,m-59,semibrevis,2
Ock3009_Dijon,2,m-101,semibrevis,5
Ock3009_Dijon,2,m-116,semibrevis,6
Ock3009_Dijon,2,m-201,semibrevis,12
Ock3009_Dijon,2,m-231,semibrevis,14
Ock3009_Dijon,2,m-285,semibrevis,18
Ock3009_Dijon,2,m-409,semibrevis,26
Ock3009_Dijon,2,m-560,semibrevis,36
Ock3009_Dijon,3,m-65,semibrevis,2
Ock3009_Dijon,3,m-121,semibrevis,6
Ock3009_Dijon,3,m-148,semibrevis,8
Ock3009_Dijon,3,m-164,semibrevis,9
Ock3009_Dijon,3,m-248,semibrevis,15
Ock3009_Dijon,3,m-277,semibrevis,17
Ock3009_Mellon,1,m-71,semibrevis,3
Ock3009_Mellon,1,m-99,semibrevis,5
Ock3009_Mellon,1,m-171,semibrevis,10
Ock3009_Mellon,1,m-216,semibrevis,13
Ock3009_Mellon,1,m-467,semibrevis,30
Ock3009_Mellon,2,m-59,semibrevis,2
Ock3009_Mellon,2,m-118,semibrevis,6
Ock3009_Mellon,2,m-176,semibrevis,10
Ock3009_Mellon,2,m-205,semibrevis,12
Ock3009_Mellon,2,m-234,semibrevis,14
Ock3009_Mellon,2,m-288,semibrevis,18
Ock3009_Mellon,2,m-569,semibrevis,36
Ock3009_Mellon,3,m-65,semibrevis,2
Ock3009_Mellon,3,m-123,semibrevis,6
Ock3009_Mellon,3,m-151,semibrevis,8
Ock3009_Mellon,3,m-166,semibrevis,9
Ock3009_Mellon,3,m-252,semibrevis,15
Ock3009_Mellon,3,m-280,semibrevis,17
Ock3012,1,m-575,semibrevis,15
Ock3012,2,m-230,semibrevis,6
Ock3012,2,m-1011,semibrevis,28
Ock3012,3,m-145,semibrevis,3
Ock3016,2,m-287,semibrevis,7
Ock3016,2,m-677,semibrevis,16
Ock3016,2,m-1003,semibrevis,25
Ock3016,2,m-1189,semibrevis,30
Ock3016,2,m-1489,semibrevis,38
Ock3016,2,m-1993,semibrevis,51
Ock3016,3,m-382,semibrevis,9
Ock3016,3,m-857,semibrevis,21
Ock3016,3,m-948,semibrevis,23
Ock3016,3,m-1202,semibrevis,30
Ock3016,3,m-1463,semibrevis,37
Ock3016,3,m-1693,semibrevis,43
Ock3027,1,m-162,semibrevis,5
Ock3027,3,m-200,semibrevis,6
Ock3027,3,m-261,semibrevis,8
Ock3027,3,m-390,semibrevis,12
Ock3027,3,m-785,semibrevis,25
Ock3027,4,m-331,semibrevis,10
Ock3027,4,m-550,semibrevis,17
Ock3027,4,m-886,semibrevis,28
Ock3027,5,m-96,semibrevis,2
Ock3027,5,m-612,semibrevis,19
Ock3027,5,m-761,semibrevis,24
Ock3027,5,m-920,semibrevis,29
